lead_day,Platform,Campaign,Ad Name,Aff_param,Cost
2025-04-12,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,171.89
2025-04-12,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,449.23
2025-04-13,Bing,Brand Search,Bing Brand Exact,AFF-3201,307.2
2025-04-13,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,602.16
2025-04-13,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1599.4
2025-04-13,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1234.5
2025-04-13,Google Display,Prospecting Display,In-Market Display A,AFF-2201,498.8
2025-04-13,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,523.99
2025-04-13,Google Search,Brand Search,Brand Core RSA,AFF-1201,1022.23
2025-04-13,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1204.92
2025-04-13,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,828.67
2025-04-13,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,980.24
2025-04-13,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,112.06
2025-04-13,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,248.02
2025-04-13,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,151.17
2025-04-14,Bing,Brand Search,Bing Brand Exact,AFF-3201,711.58
2025-04-14,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,1285.86
2025-04-14,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1818.15
2025-04-14,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,743.49
2025-04-14,Google Display,Prospecting Display,In-Market Display A,AFF-2201,341.57
2025-04-14,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,370.4
2025-04-14,Google Search,Brand Search,Brand Core RSA,AFF-1201,1810.7
2025-04-14,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1967.26
2025-04-14,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,1265.81
2025-04-14,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,787.0
2025-04-14,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,263.75
2025-04-14,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,107.22
2025-04-14,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,655.76
2025-04-14,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,506.74
2025-04-15,Bing,Brand Search,Bing Brand Exact,AFF-3201,1073.73
2025-04-15,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,756.42
2025-04-15,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1396.23
2025-04-15,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1659.72
2025-04-15,Google Display,Prospecting Display,In-Market Display A,AFF-2201,374.14
2025-04-15,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,668.64
2025-04-15,Google Search,Brand Search,Brand Core RSA,AFF-1201,1523.27
2025-04-15,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1734.86
2025-04-15,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,1530.86
2025-04-15,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,912.05
2025-04-15,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,178.51
2025-04-15,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,115.2
2025-04-15,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,547.9
2025-04-15,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,205.94
2025-04-16,Bing,Brand Search,Bing Brand Exact,AFF-3201,1241.34
2025-04-16,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,970.41
2025-04-16,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1298.58
2025-04-16,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1065.86
2025-04-16,Google Display,Prospecting Display,In-Market Display A,AFF-2201,596.14
2025-04-16,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,486.9
2025-04-16,Google Search,Brand Search,Brand Core RSA,AFF-1201,1629.5
2025-04-16,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1716.95
2025-04-16,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,528.04
2025-04-16,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,571.91
2025-04-16,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,391.42
2025-04-16,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,217.47
2025-04-16,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,548.79
2025-04-16,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,151.89
2025-04-17,Bing,Brand Search,Bing Brand Exact,AFF-3201,912.93
2025-04-17,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,405.42
2025-04-17,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1399.62
2025-04-17,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,868.77
2025-04-17,Google Display,Prospecting Display,In-Market Display A,AFF-2201,644.05
2025-04-17,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,354.12
2025-04-17,Google Search,Brand Search,Brand Core RSA,AFF-1201,2046.28
2025-04-17,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1500.68
2025-04-17,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,965.18
2025-04-17,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,996.98
2025-04-17,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,121.67
2025-04-17,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,269.09
2025-04-17,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,832.18
2025-04-17,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,556.72
2025-04-18,Bing,Brand Search,Bing Brand Exact,AFF-3201,1340.86
2025-04-18,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,1400.26
2025-04-18,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,942.64
2025-04-18,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1032.87
2025-04-18,Google Display,Prospecting Display,In-Market Display A,AFF-2201,307.77
2025-04-18,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,693.58
2025-04-18,Google Search,Brand Search,Brand Core RSA,AFF-1201,1315.23
2025-04-18,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2552.26
2025-04-18,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,877.21
2025-04-18,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,497.21
2025-04-18,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,479.4
2025-04-18,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,591.52
2025-04-18,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,281.86
2025-04-19,Bing,Brand Search,Bing Brand Exact,AFF-3201,647.0
2025-04-19,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,993.03
2025-04-19,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1361.87
2025-04-19,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1010.88
2025-04-19,Google Display,Prospecting Display,In-Market Display A,AFF-2201,831.65
2025-04-19,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,466.21
2025-04-19,Google Search,Brand Search,Brand Core RSA,AFF-1201,1984.8
2025-04-19,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2514.77
2025-04-19,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,667.07
2025-04-19,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,502.11
2025-04-19,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,161.26
2025-04-19,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,423.38
2025-04-19,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,456.53
2025-04-20,Bing,Brand Search,Bing Brand Exact,AFF-3201,425.4
2025-04-20,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,705.02
2025-04-20,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,2316.4
2025-04-20,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1302.5
2025-04-20,Google Display,Prospecting Display,In-Market Display A,AFF-2201,295.84
2025-04-20,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,569.74
2025-04-20,Google Search,Brand Search,Brand Core RSA,AFF-1201,1849.9
2025-04-20,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1523.03
2025-04-20,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,1138.38
2025-04-20,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,647.28
2025-04-20,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,171.2
2025-04-20,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,53.36
2025-04-20,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,299.14
2025-04-20,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,391.98
2025-04-21,Bing,Brand Search,Bing Brand Exact,AFF-3201,1593.42
2025-04-21,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,639.36
2025-04-21,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1269.88
2025-04-21,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1212.37
2025-04-21,Google Display,Prospecting Display,In-Market Display A,AFF-2201,441.66
2025-04-21,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,337.69
2025-04-21,Google Search,Brand Search,Brand Core RSA,AFF-1201,2599.0
2025-04-21,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2285.1
2025-04-21,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,1024.69
2025-04-21,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,944.42
2025-04-21,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,206.3
2025-04-21,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,152.13
2025-04-21,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,503.75
2025-04-21,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,280.98
2025-04-22,Bing,Brand Search,Bing Brand Exact,AFF-3201,925.79
2025-04-22,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,703.28
2025-04-22,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1875.11
2025-04-22,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1187.87
2025-04-22,Google Display,Prospecting Display,In-Market Display A,AFF-2201,660.12
2025-04-22,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,506.04
2025-04-22,Google Search,Brand Search,Brand Core RSA,AFF-1201,2323.28
2025-04-22,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2232.19
2025-04-22,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,131.08
2025-04-22,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,1229.14
2025-04-22,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,170.28
2025-04-22,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,193.2
2025-04-22,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,655.91
2025-04-22,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,293.5
2025-04-23,Bing,Brand Search,Bing Brand Exact,AFF-3201,975.88
2025-04-23,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,1205.41
2025-04-23,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,2092.17
2025-04-23,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1173.11
2025-04-23,Google Display,Prospecting Display,In-Market Display A,AFF-2201,691.79
2025-04-23,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,547.23
2025-04-23,Google Search,Brand Search,Brand Core RSA,AFF-1201,1657.71
2025-04-23,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2680.65
2025-04-23,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,1414.74
2025-04-23,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,1176.31
2025-04-23,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,293.0
2025-04-23,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,219.31
2025-04-23,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,310.18
2025-04-23,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,377.89
2025-04-24,Bing,Brand Search,Bing Brand Exact,AFF-3201,590.55
2025-04-24,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,752.76
2025-04-24,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1681.46
2025-04-24,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1268.01
2025-04-24,Google Display,Prospecting Display,In-Market Display A,AFF-2201,410.78
2025-04-24,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,275.08
2025-04-24,Google Search,Brand Search,Brand Core RSA,AFF-1201,1772.56
2025-04-24,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2520.09
2025-04-24,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,552.75
2025-04-24,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,993.36
2025-04-24,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,345.08
2025-04-24,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,208.15
2025-04-24,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,393.09
2025-04-24,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,650.19
2025-04-25,Bing,Brand Search,Bing Brand Exact,AFF-3201,992.32
2025-04-25,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,1189.54
2025-04-25,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1429.7
2025-04-25,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1314.1
2025-04-25,Google Display,Prospecting Display,In-Market Display A,AFF-2201,1131.98
2025-04-25,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,383.66
2025-04-25,Google Search,Brand Search,Brand Core RSA,AFF-1201,1670.1
2025-04-25,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1604.72
2025-04-25,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,1015.79
2025-04-25,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,1426.34
2025-04-25,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,156.75
2025-04-25,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,169.67
2025-04-25,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,611.37
2025-04-25,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,276.75
2025-04-26,Bing,Brand Search,Bing Brand Exact,AFF-3201,1420.62
2025-04-26,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,511.45
2025-04-26,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1680.4
2025-04-26,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1354.84
2025-04-26,Google Display,Prospecting Display,In-Market Display A,AFF-2201,562.53
2025-04-26,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,190.25
2025-04-26,Google Search,Brand Search,Brand Core RSA,AFF-1201,1411.48
2025-04-26,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,1708.94
2025-04-26,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,784.51
2025-04-26,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,1025.34
2025-04-26,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,263.65
2025-04-26,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,104.02
2025-04-26,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,464.84
2025-04-26,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,350.08
2025-04-27,Bing,Brand Search,Bing Brand Exact,AFF-3201,835.85
2025-04-27,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,938.61
2025-04-27,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1268.31
2025-04-27,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,911.14
2025-04-27,Google Display,Prospecting Display,In-Market Display A,AFF-2201,636.59
2025-04-27,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,145.58
2025-04-27,Google Search,Brand Search,Brand Core RSA,AFF-1201,1617.13
2025-04-27,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2514.07
2025-04-27,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,1607.76
2025-04-27,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,1294.15
2025-04-27,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,303.28
2025-04-27,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,210.11
2025-04-27,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,550.69
2025-04-27,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,294.14
2025-04-28,Bing,Brand Search,Bing Brand Exact,AFF-3201,919.44
2025-04-28,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,640.57
2025-04-28,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1437.51
2025-04-28,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,990.07
2025-04-28,Google Display,Prospecting Display,In-Market Display A,AFF-2201,578.21
2025-04-28,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,352.14
2025-04-28,Google Search,Brand Search,Brand Core RSA,AFF-1201,1817.21
2025-04-28,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2380.98
2025-04-28,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,508.27
2025-04-28,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,1013.15
2025-04-28,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,267.4
2025-04-28,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,215.47
2025-04-28,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,443.29
2025-04-28,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,492.28
2025-04-29,Bing,Brand Search,Bing Brand Exact,AFF-3201,1270.59
2025-04-29,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,817.19
2025-04-29,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,2254.13
2025-04-29,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1671.32
2025-04-29,Google Display,Prospecting Display,In-Market Display A,AFF-2201,750.46
2025-04-29,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,322.33
2025-04-29,Google Search,Brand Search,Brand Core RSA,AFF-1201,1796.35
2025-04-29,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2518.29
2025-04-29,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,780.46
2025-04-29,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,1157.4
2025-04-29,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,52.22
2025-04-29,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,96.49
2025-04-29,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,361.77
2025-04-29,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,219.22
2025-04-30,Bing,Brand Search,Bing Brand Exact,AFF-3201,981.08
2025-04-30,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,725.66
2025-04-30,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1419.87
2025-04-30,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1884.2
2025-04-30,Google Display,Prospecting Display,In-Market Display A,AFF-2201,357.12
2025-04-30,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,395.33
2025-04-30,Google Search,Brand Search,Brand Core RSA,AFF-1201,1478.97
2025-04-30,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2596.15
2025-04-30,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,1559.43
2025-04-30,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,1154.07
2025-04-30,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,184.09
2025-04-30,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,102.02
2025-04-30,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,504.18
2025-04-30,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,728.38
2025-05-01,Bing,Brand Search,Bing Brand Exact,AFF-3201,811.36
2025-05-01,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,960.39
2025-05-01,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1038.63
2025-05-01,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1342.43
2025-05-01,Google Display,Prospecting Display,In-Market Display A,AFF-2201,420.25
2025-05-01,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,263.29
2025-05-01,Google Search,Brand Search,Brand Core RSA,AFF-1201,1560.21
2025-05-01,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2043.06
2025-05-01,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,737.33
2025-05-01,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,689.06
2025-05-01,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,406.93
2025-05-01,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,55.0
2025-05-01,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,210.46
2025-05-01,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,527.17
2025-05-02,Bing,Brand Search,Bing Brand Exact,AFF-3201,1098.3
2025-05-02,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,507.35
2025-05-02,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1499.16
2025-05-02,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1603.24
2025-05-02,Google Display,Prospecting Display,In-Market Display A,AFF-2201,1244.54
2025-05-02,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,469.3
2025-05-02,Google Search,Brand Search,Brand Core RSA,AFF-1201,2554.02
2025-05-02,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,3397.52
2025-05-02,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,370.43
2025-05-02,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,875.27
2025-05-02,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,258.27
2025-05-02,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,162.55
2025-05-02,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,390.1
2025-05-02,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,392.97
2025-05-03,Bing,Brand Search,Bing Brand Exact,AFF-3201,1453.25
2025-05-03,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,1143.68
2025-05-03,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1003.72
2025-05-03,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,843.1
2025-05-03,Google Display,Prospecting Display,In-Market Display A,AFF-2201,655.73
2025-05-03,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,364.09
2025-05-03,Google Search,Brand Search,Brand Core RSA,AFF-1201,1770.22
2025-05-03,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2414.68
2025-05-03,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,635.47
2025-05-03,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,474.74
2025-05-03,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,344.04
2025-05-03,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,201.5
2025-05-03,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,434.72
2025-05-03,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,270.39
2025-05-04,Bing,Brand Search,Bing Brand Exact,AFF-3201,1412.31
2025-05-04,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,581.59
2025-05-04,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1292.96
2025-05-04,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,816.36
2025-05-04,Google Display,Prospecting Display,In-Market Display A,AFF-2201,508.95
2025-05-04,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,447.97
2025-05-04,Google Search,Brand Search,Brand Core RSA,AFF-1201,2496.84
2025-05-04,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2710.95
2025-05-04,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,491.19
2025-05-04,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,659.6
2025-05-04,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,261.92
2025-05-04,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,167.8
2025-05-04,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,338.58
2025-05-04,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,517.37
2025-05-05,Bing,Brand Search,Bing Brand Exact,AFF-3201,1138.05
2025-05-05,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,975.68
2025-05-05,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1063.99
2025-05-05,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,1669.83
2025-05-05,Google Display,Prospecting Display,In-Market Display A,AFF-2201,1087.76
2025-05-05,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,243.8
2025-05-05,Google Search,Brand Search,Brand Core RSA,AFF-1201,1185.06
2025-05-05,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2198.23
2025-05-05,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,1289.88
2025-05-05,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,1606.74
2025-05-05,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,185.15
2025-05-05,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,197.38
2025-05-05,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,340.99
2025-05-05,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,136.8
2025-05-06,Bing,Brand Search,Bing Brand Exact,AFF-3201,710.84
2025-05-06,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,700.94
2025-05-06,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,1522.31
2025-05-06,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,958.92
2025-05-06,Google Display,Prospecting Display,In-Market Display A,AFF-2201,760.02
2025-05-06,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,339.04
2025-05-06,Google Search,Brand Search,Brand Core RSA,AFF-1201,2052.28
2025-05-06,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,2614.92
2025-05-06,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,682.93
2025-05-06,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,768.52
2025-05-06,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,54.01
2025-05-06,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,216.98
2025-05-06,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,633.64
2025-05-06,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,616.01
2025-05-07,Bing,Brand Search,Bing Brand Exact,AFF-3201,1589.42
